Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Gordon,29.0,DEN,PF,14.0,14.0,37.3,5.8,11.9,0.485,1.6,4.1,0.379,4.2,7.8,0.541,0.551,3.1,3.6,0.86,3.6,4.0,7.6,2.7,0.6,0.4,1.9,2.4,16.2
Austin Reaves,26.0,LAL,SG,5.0,5.0,39.2,6.0,14.6,0.411,3.0,9.4,0.319,3.0,5.2,0.577,0.514,1.2,1.4,0.857,0.8,4.6,5.4,3.6,0.2,0.6,2.8,3.6,16.2
Jaren Jackson Jr.,25.0,MEM,C,4.0,4.0,34.3,5.5,14.5,0.379,0.8,2.8,0.273,4.8,11.8,0.404,0.405,4.3,5.0,0.85,2.3,2.8,5.0,1.5,1.0,0.5,2.8,3.5,16.0
Norman Powell,31.0,LAC,SG,7.0,7.0,34.0,6.0,12.7,0.472,2.0,5.7,0.35,4.0,7.0,0.571,0.551,2.0,2.6,0.778,0.1,2.3,2.4,2.4,1.1,0.3,1.7,2.1,16.0
Tobias Harris,32.0,DET,PF,6.0,6.0,38.8,5.7,11.8,0.479,1.7,3.8,0.435,4.0,8.0,0.5,0.549,2.7,2.7,1.0,1.3,6.3,7.7,0.5,1.0,1.2,1.0,2.7,15.7
Amen Thompson,22.0,HOU,SF,7.0,7.0,33.0,6.0,12.1,0.494,0.1,0.6,0.25,5.9,11.6,0.506,0.5,3.6,5.1,0.694,2.7,4.1,6.9,3.3,1.7,0.9,1.7,2.6,15.7
Mikal Bridges,28.0,NYK,SF,18.0,18.0,39.2,6.7,14.6,0.456,1.6,4.7,0.333,5.1,9.9,0.514,0.51,0.7,0.9,0.75,1.1,3.4,4.5,2.9,1.7,0.9,2.1,2.2,15.6
Desmond Bane,26.0,MEM,SG,4.0,4.0,34.8,5.0,15.8,0.317,1.8,8.0,0.219,3.3,7.8,0.419,0.373,3.5,3.8,0.933,1.3,5.5,6.8,3.3,0.8,0.5,3.8,2.3,15.3
Jonathan Kuminga,22.0,GSW,PF,8.0,1.0,23.4,5.6,11.6,0.484,1.3,3.1,0.4,4.4,8.5,0.515,0.538,2.8,3.9,0.71,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3
Chet Holmgren,22.0,OKC,C,23.0,23.0,29.8,5.3,11.6,0.462,1.2,4.0,0.297,4.2,7.6,0.549,0.513,3.3,4.2,0.784,1.8,6.8,8.7,1.0,0.7,1.9,1.2,2.0,15.2
