Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luke Kennard,28.0,MEM,SG,4.0,0.0,20.0,2.0,4.5,0.444,0.5,2.3,0.222,1.5,2.3,0.667,0.5,0.0,0.0,,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5
Luke Kornet,29.0,BOS,C,11.0,1.0,16.4,1.9,2.6,0.724,0.0,0.0,,1.9,2.6,0.724,0.724,0.7,0.7,1.0,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5
Pat Spencer,28.0,GSW,PG,8.0,0.0,7.9,2.0,3.1,0.64,0.1,0.4,0.333,1.9,2.8,0.682,0.66,0.4,0.4,1.0,0.6,0.8,1.4,0.8,0.4,0.0,0.8,1.1,4.5
Peyton Watson,22.0,DEN,SF,14.0,0.0,14.2,1.7,4.2,0.407,0.5,1.4,0.368,1.2,2.9,0.425,0.466,0.6,1.1,0.5,1.0,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5
Leonard Miller,21.0,MIN,SF,3.0,0.0,4.3,2.0,2.7,0.75,0.3,0.3,1.0,1.7,2.3,0.714,0.813,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.0,4.3
Duncan Robinson,30.0,MIA,SF,4.0,0.0,14.8,1.3,3.5,0.357,1.0,3.0,0.333,0.3,0.5,0.5,0.5,0.8,1.0,0.75,0.0,1.0,1.0,0.3,0.0,0.0,1.5,1.5,4.3
Kevin Knox,25.0,GSW,SF,5.0,0.0,7.6,1.6,4.0,0.4,0.2,1.2,0.167,1.4,2.8,0.5,0.425,0.8,1.0,0.8,0.6,0.8,1.4,0.8,0.0,0.2,0.4,0.4,4.2
Julian Strawther,22.0,DEN,SG,9.0,0.0,9.8,1.4,3.3,0.433,0.7,1.3,0.5,0.8,2.0,0.389,0.533,0.7,0.8,0.857,0.4,0.6,1.0,0.2,0.2,0.1,0.6,1.2,4.2
Trayce Jackson-Davis,24.0,GSW,C,9.0,3.0,8.9,1.8,2.0,0.889,0.0,0.0,,1.8,2.0,0.889,0.889,0.6,1.4,0.385,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1
Aaron Holiday,28.0,HOU,PG,3.0,0.0,9.0,1.3,3.3,0.4,0.7,1.7,0.4,0.7,1.7,0.4,0.5,0.7,1.3,0.5,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,4.0
Jay Huff,26.0,MEM,C,2.0,0.0,9.0,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,2.0,2.0,1.0,0.5,1.0,1.5,0.5,0.0,1.5,0.5,0.5,4.0
Quinten Post,24.0,GSW,PF,12.0,2.0,12.2,1.3,4.0,0.333,0.8,2.7,0.313,0.5,1.3,0.375,0.438,0.3,0.3,0.75,0.5,1.8,2.3,1.0,0.3,0.3,0.5,1.7,3.8
Jonathan Isaac,27.0,ORL,PF,5.0,0.0,13.8,1.4,2.4,0.583,0.2,0.8,0.25,1.2,1.6,0.75,0.625,0.6,1.0,0.6,1.0,1.0,2.0,0.4,0.4,0.2,0.4,0.6,3.6
Sam Hauser,27.0,BOS,PF,8.0,0.0,13.5,1.3,3.0,0.417,0.9,2.6,0.333,0.4,0.4,1.0,0.563,0.1,0.1,1.0,0.0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5
Ajay Mitchell,22.0,OKC,SG,12.0,0.0,7.0,1.3,2.9,0.457,0.4,1.1,0.385,0.9,1.8,0.5,0.529,0.3,0.4,0.8,0.3,0.5,0.8,0.8,0.2,0.0,0.5,0.6,3.4
Ryan Rollins,22.0,MIL,PG,3.0,1.0,10.0,1.3,4.3,0.308,0.7,2.3,0.286,0.7,2.0,0.333,0.385,0.0,0.0,,0.3,0.3,0.7,1.3,0.3,0.0,0.0,1.3,3.3
Ben Sheppard,23.0,IND,SG,21.0,0.0,14.0,1.1,2.4,0.471,0.7,1.8,0.395,0.4,0.6,0.692,0.618,0.2,0.2,1.0,0.4,1.5,1.9,0.4,0.4,0.0,0.5,1.8,3.2
Patty Mills,36.0,LAC,PG,1.0,0.0,4.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
Hunter Tyson,24.0,DEN,PF,5.0,0.0,6.0,1.0,2.0,0.5,0.2,1.0,0.2,0.8,1.0,0.8,0.55,0.8,0.8,1.0,0.8,0.8,1.6,0.4,0.2,0.0,0.2,0.6,3.0
Jarace Walker,21.0,IND,PF,12.0,0.0,9.8,1.1,2.8,0.382,0.7,1.7,0.4,0.4,1.2,0.357,0.5,0.2,0.3,0.5,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3.0
John Konchar,28.0,MEM,SG,4.0,0.0,17.3,0.8,2.3,0.333,0.3,1.5,0.167,0.5,0.8,0.667,0.389,1.0,1.0,1.0,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2.0,2.8
Paul Reed,25.0,DET,C,5.0,0.0,10.6,1.0,1.6,0.625,0.0,0.0,,1.0,1.6,0.625,0.625,0.8,1.2,0.667,1.4,1.6,3.0,0.2,1.0,0.6,1.0,1.6,2.8
Jericho Sims,26.0,MIL,C,5.0,0.0,11.6,1.2,1.2,1.0,0.0,0.0,,1.2,1.2,1.0,1.0,0.4,0.6,0.667,2.2,1.8,4.0,0.2,0.0,0.2,1.0,1.0,2.8
Gabe Vincent,28.0,LAL,PG,5.0,0.0,19.8,1.0,2.8,0.357,0.8,2.6,0.308,0.2,0.2,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,1.6,2.8
Rob Dillingham,20.0,MIN,PG,3.0,0.0,5.3,1.0,2.7,0.375,0.3,0.7,0.5,0.7,2.0,0.333,0.438,0.3,0.7,0.5,0.0,0.7,0.7,2.3,0.0,0.0,0.0,0.3,2.7
Thomas Bryant,27.0,IND,C,20.0,0.0,8.4,0.8,1.7,0.485,0.5,0.9,0.5,0.4,0.8,0.467,0.621,0.6,0.7,0.786,0.4,1.0,1.4,0.2,0.2,0.3,0.4,1.3,2.6
Luka Garza,26.0,MIN,C,5.0,0.0,3.8,1.2,1.2,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.083,0.0,0.0,,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.2,2.6
Gui Santos,22.0,GSW,PF,10.0,0.0,7.2,0.9,1.7,0.529,0.4,1.0,0.4,0.5,0.7,0.714,0.647,0.4,0.6,0.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1.0,2.6
Jaylin Williams,22.0,OKC,PF,17.0,0.0,8.3,0.9,2.1,0.429,0.5,1.5,0.36,0.4,0.6,0.6,0.557,0.4,0.6,0.545,0.2,1.6,1.9,1.0,0.5,0.1,0.7,1.8,2.6
Javonte Green,31.0,CLE,SG,6.0,0.0,6.5,0.7,1.7,0.4,0.2,0.8,0.2,0.5,0.8,0.6,0.45,1.0,1.0,1.0,0.2,1.3,1.5,0.3,0.7,0.0,0.3,0.3,2.5
Dalton Knecht,23.0,LAL,SF,2.0,0.0,2.0,1.0,2.5,0.4,0.5,2.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5
Neemias Queta,25.0,BOS,C,4.0,0.0,3.3,1.3,1.5,0.833,0.0,0.0,,1.3,1.5,0.833,0.833,0.0,0.0,,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.5,2.5
Landry Shamet,27.0,NYK,SG,11.0,0.0,7.5,0.8,1.8,0.45,0.6,1.4,0.467,0.2,0.5,0.4,0.625,0.1,0.4,0.25,0.0,0.4,0.4,0.7,0.1,0.0,0.4,0.5,2.4
Kenrich Williams,30.0,OKC,PF,16.0,0.0,8.6,1.0,2.5,0.4,0.3,1.3,0.2,0.8,1.3,0.6,0.45,0.2,0.4,0.5,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4
Dillon Jones,23.0,OKC,SF,10.0,0.0,4.6,0.9,1.1,0.818,0.3,0.4,0.75,0.6,0.7,0.857,0.955,0.2,0.2,1.0,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3
Jordan Miller,25.0,LAC,SF,3.0,0.0,4.3,1.0,2.3,0.429,0.0,0.3,0.0,1.0,2.0,0.5,0.429,0.3,0.7,0.5,0.0,0.7,0.7,1.3,1.0,0.0,0.0,0.0,2.3
Tristan Thompson,33.0,CLE,C,3.0,0.0,9.7,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.3,1.0,0.333,0.7,4.3,5.0,0.3,0.3,0.7,0.7,0.7,2.3
Cole Anthony,24.0,ORL,PG,5.0,0.0,10.2,0.8,2.8,0.286,0.0,1.2,0.0,0.8,1.6,0.5,0.286,0.6,0.8,0.75,0.6,0.8,1.4,1.2,0.0,0.2,1.8,2.4,2.2
Jaylen Clark,23.0,MIN,SG,5.0,0.0,5.6,0.8,1.0,0.8,0.0,0.2,0.0,0.8,0.8,1.0,0.8,0.6,0.8,0.75,0.4,1.0,1.4,0.2,0.4,0.0,0.2,0.4,2.2
Kevon Looney,28.0,GSW,C,12.0,0.0,10.0,0.8,1.9,0.435,0.0,0.0,,0.8,1.9,0.435,0.435,0.5,0.7,0.75,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2
Cameron Payne,30.0,NYK,PG,14.0,0.0,7.3,0.9,2.6,0.324,0.4,1.5,0.238,0.5,1.1,0.438,0.392,0.1,0.2,0.333,0.0,0.6,0.6,0.6,0.4,0.1,0.5,1.6,2.1
Pat Connaughton,32.0,MIL,SG,3.0,0.0,4.7,0.7,2.7,0.25,0.3,1.3,0.25,0.3,1.3,0.25,0.313,0.3,0.7,0.5,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,2.0
Maxi Kleber,33.0,LAL,PF,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Jock Landale,29.0,HOU,C,1.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Craig Porter Jr.,24.0,CLE,PG,6.0,0.0,5.8,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.5,1.0,1.5,0.5,0.3,0.3,0.3,2.0
Baylor Scheierman,24.0,BOS,SG,4.0,0.0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0
Lamar Stevens,27.0,MEM,PF,2.0,0.0,6.0,1.0,4.5,0.222,0.0,1.5,0.0,1.0,3.0,0.333,0.222,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,0.5,0.5,2.0
Isaiah Stewart,23.0,DET,C,1.0,0.0,19.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0
Xavier Tillman Sr.,26.0,BOS,C,1.0,0.0,8.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
Precious Achiuwa,25.0,NYK,C,8.0,0.0,4.3,0.8,1.8,0.429,0.0,0.1,0.0,0.8,1.6,0.462,0.429,0.3,0.5,0.5,0.4,0.8,1.1,0.0,0.1,0.0,0.1,0.3,1.8
Jaxson Hayes,24.0,LAL,C,4.0,4.0,7.8,0.8,2.0,0.375,0.0,0.0,,0.8,2.0,0.375,0.375,0.3,0.5,0.5,1.3,0.8,2.0,0.3,0.0,0.3,0.3,2.0,1.8
Ron Holland,19.0,DET,SF,5.0,0.0,6.8,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,1.8,2.0,0.9,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8
Cam Christie,19.0,LAC,SG,3.0,0.0,4.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.3,0.0,1.7
Dean Wade,28.0,CLE,PF,9.0,1.0,15.8,0.7,2.0,0.333,0.3,1.6,0.214,0.3,0.4,0.75,0.417,0.0,0.0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7
Ousmane Dieng,21.0,OKC,C,9.0,0.0,3.6,0.4,1.1,0.4,0.4,0.8,0.571,0.0,0.3,0.0,0.6,0.2,0.2,1.0,0.0,0.4,0.4,0.3,0.0,0.1,0.0,0.0,1.6
Jalen Pickett,25.0,DEN,SG,8.0,0.0,7.1,0.6,1.9,0.333,0.4,1.1,0.333,0.3,0.8,0.333,0.433,0.0,0.0,,0.0,0.9,0.9,0.6,0.0,0.1,0.8,0.4,1.6
Tony Bradley,27.0,IND,C,11.0,0.0,7.1,0.4,0.8,0.444,0.0,0.1,0.0,0.4,0.7,0.5,0.444,0.8,1.1,0.75,1.0,0.9,1.9,0.3,0.0,0.1,0.4,0.9,1.5
Gary Harris,30.0,ORL,SG,5.0,0.0,16.6,0.6,1.6,0.375,0.2,1.2,0.167,0.4,0.4,1.0,0.438,0.0,0.0,,0.2,0.8,1.0,0.6,0.6,0.2,0.0,1.4,1.4
James Johnson,37.0,IND,PF,5.0,0.0,3.6,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4
Jarred Vanderbilt,25.0,LAL,PF,5.0,0.0,12.0,0.4,1.2,0.333,0.0,0.2,0.0,0.4,1.0,0.4,0.333,0.6,0.8,0.75,0.8,3.0,3.8,1.0,0.6,0.2,0.6,1.8,1.4
Drew Eubanks,27.0,LAC,C,3.0,0.0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,1.3,2.0,0.667,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,1.3
Ariel Hukporti,22.0,NYK,C,3.0,0.0,1.7,0.7,0.7,1.0,0.0,0.0,,0.7,0.7,1.0,1.0,0.0,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.3
Jaime Jaquez Jr.,23.0,MIA,SF,3.0,0.0,6.3,0.3,2.0,0.167,0.0,0.7,0.0,0.3,1.3,0.25,0.167,0.7,0.7,1.0,1.0,0.3,1.3,0.3,0.0,0.0,0.3,0.3,1.3
Torrey Craig,34.0,BOS,SF,5.0,0.0,4.2,0.4,0.8,0.5,0.4,0.6,0.667,0.0,0.2,0.0,0.75,0.0,0.0,,0.4,0.6,1.0,0.6,0.2,0.0,0.2,0.4,1.2
Caleb Houstan,22.0,ORL,SF,5.0,0.0,9.4,0.4,2.8,0.143,0.4,2.0,0.2,0.0,0.8,0.0,0.214,0.0,0.0,,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.6,1.2
Zeke Nnaji,24.0,DEN,PF,6.0,0.0,5.7,0.2,1.3,0.125,0.2,1.0,0.167,0.0,0.3,0.0,0.188,0.7,1.2,0.571,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1.0,1.2
Taurean Prince,30.0,MIL,SF,5.0,2.0,12.2,0.4,2.0,0.2,0.4,1.8,0.222,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,1.0,1.0,1.6,0.4,0.2,1.0,0.6,1.2
Delon Wright,32.0,NYK,PG,6.0,0.0,8.0,0.3,1.5,0.222,0.2,1.0,0.167,0.2,0.5,0.333,0.278,0.3,0.3,1.0,0.2,0.2,0.3,0.8,0.5,0.2,0.2,0.0,1.2
Pacôme Dadiet,19.0,NYK,SG,2.0,0.0,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JD Davison,22.0,BOS,PG,4.0,0.0,3.3,0.3,2.0,0.125,0.3,0.5,0.5,0.0,1.5,0.0,0.188,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.0,1.0
Jeff Green,38.0,HOU,PF,3.0,0.0,1.7,0.3,1.0,0.333,0.3,0.3,1.0,0.0,0.7,0.0,0.5,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0
Keshad Johnson,23.0,MIA,SF,2.0,0.0,4.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0
Tyler Kolek,23.0,NYK,PG,3.0,0.0,2.0,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0
Josh Minott,22.0,MIN,SF,5.0,0.0,4.6,0.4,1.6,0.25,0.2,1.2,0.167,0.2,0.4,0.5,0.313,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,1.0
Chuma Okeke,26.0,CLE,PF,3.0,0.0,4.3,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0
DeAndre Jordan,36.0,DEN,C,7.0,0.0,5.1,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.0,0.6,0.0,0.1,1.1,1.3,0.3,0.0,0.1,0.3,1.3,0.9
Jordan Goodwin,26.0,LAL,PG,4.0,0.0,7.8,0.3,1.3,0.2,0.0,0.5,0.0,0.3,0.8,0.333,0.2,0.3,0.5,0.5,0.5,0.8,1.3,0.5,0.3,0.3,0.3,1.8,0.8
Ben Simmons,28.0,LAC,PG,5.0,0.0,8.4,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.6,0.8,1.4,0.8,0.2,0.8,0.4,2.2,0.8
Goga Bitadze,25.0,ORL,C,3.0,0.0,3.7,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,2.0,0.7
Braxton Key,27.0,GSW,SF,5.0,0.0,4.6,0.2,1.6,0.125,0.0,0.2,0.0,0.2,1.4,0.143,0.125,0.0,0.0,,1.0,0.8,1.8,0.2,0.4,0.4,0.6,0.8,0.4
Johnny Furphy,20.0,IND,SG,11.0,0.0,3.2,0.1,0.4,0.25,0.0,0.2,0.0,0.1,0.2,0.5,0.25,0.0,0.1,0.0,0.1,0.5,0.5,0.1,0.0,0.1,0.1,0.5,0.2
Kyle Anderson,31.0,MIA,SF,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
Vlatko Čančar,27.0,DEN,PF,3.0,0.0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.0,0.0
Tristan Da Silva,23.0,ORL,SF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0
Andre Jackson Jr.,23.0,MIL,SG,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bronny James,20.0,LAL,SG,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,31.0,LAL,C,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Livingston,21.0,MIL,SF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Shake Milton,28.0,LAL,SG,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Reed Sheppard,20.0,HOU,PG,3.0,0.0,3.3,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.0
P.J. Tucker,39.0,NYK,SF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jordan Walsh,20.0,BOS,PF,5.0,0.0,3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Cam Whitmore,20.0,HOU,SF,3.0,0.0,1.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Nate Williams,25.0,HOU,SG,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0
