Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Black,22.0,ORL,PG,7.0,0.0,28.0,2.9,7.7,0.37,1.0,3.1,0.318,1.9,4.6,0.406,0.435,1.9,3.0,0.619,0.3,2.9,3.1,1.4,2.1,0.7,0.7,2.7,8.6
Cason Wallace,22.0,OKC,SG,15.0,2.0,24.9,3.1,6.4,0.479,2.0,4.1,0.484,1.1,2.3,0.471,0.635,0.5,0.5,0.875,1.3,2.5,3.8,2.4,2.1,0.5,0.7,2.0,8.6
Christian Braun,24.0,DEN,SG,6.0,6.0,31.2,2.5,6.0,0.417,1.0,2.3,0.429,1.5,3.7,0.409,0.5,2.3,3.2,0.737,0.3,3.2,3.5,1.7,1.0,0.8,0.7,2.2,8.3
Ausar Thompson,23.0,DET,SF,14.0,14.0,30.5,3.5,6.9,0.505,0.1,0.5,0.143,3.4,6.4,0.533,0.51,1.1,2.2,0.516,3.2,4.6,7.9,3.1,2.0,1.8,1.6,2.9,8.2
Sam Merrill,29.0,CLE,SG,17.0,0.0,19.9,2.4,5.6,0.427,1.7,4.6,0.372,0.7,1.1,0.667,0.578,1.2,1.5,0.84,0.5,0.8,1.2,1.1,0.5,0.0,0.5,2.4,7.8
Royce O'Neale,32.0,PHO,SF,4.0,0.0,24.3,2.3,3.5,0.643,2.0,3.3,0.615,0.3,0.3,1.0,0.929,1.3,1.5,0.833,1.0,5.3,6.3,2.3,0.5,0.3,1.0,3.0,7.8
Sam Hauser,28.0,BOS,PF,7.0,6.0,23.4,2.7,6.6,0.413,2.3,5.4,0.421,0.4,1.1,0.375,0.587,0.0,0.0,,1.3,3.0,4.3,0.9,0.1,0.1,0.3,1.4,7.7
Keldon Johnson,26.0,SAS,SF,23.0,0.0,17.9,2.9,7.0,0.407,0.9,2.5,0.362,2.0,4.5,0.433,0.472,1.1,1.9,0.581,1.3,2.0,3.3,0.9,0.7,0.1,1.0,2.3,7.7
Oso Ighodaro,23.0,PHO,PF,4.0,4.0,32.3,3.3,6.0,0.542,0.0,0.0,,3.3,6.0,0.542,0.542,1.0,1.5,0.667,3.0,4.0,7.0,4.0,0.5,0.8,1.8,3.8,7.5
Paul Reed,26.0,DET,C,9.0,0.0,9.6,3.1,4.7,0.667,0.2,0.6,0.4,2.9,4.1,0.703,0.69,1.0,1.3,0.75,2.0,2.0,4.0,0.6,0.1,0.7,0.8,1.6,7.4
Dyson Daniels,22.0,ATL,SG,6.0,6.0,27.7,3.0,6.8,0.439,0.7,2.3,0.286,2.3,4.5,0.519,0.488,0.7,1.0,0.667,1.5,4.7,6.2,5.0,1.8,0.3,1.8,2.0,7.3
Rudy Gobert,33.0,MIN,C,12.0,12.0,31.0,2.8,5.8,0.493,0.0,0.2,0.0,2.8,5.6,0.507,0.493,1.5,3.2,0.474,3.5,5.8,9.3,2.3,1.2,1.1,1.3,2.8,7.2
